[2025-09-20T19:47:09.183+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.208+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.219+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.220+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:47:09.240+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Orders> on 2024-01-01 00:00:00+00:00
[2025-09-20T19:47:09.246+0000] {standard_task_runner.py:72} INFO - Started process 137 to run task
[2025-09-20T19:47:09.253+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Orders', 'scheduled__2024-01-01T00:00:00+00:00', '--job-id', '215', '--raw', '--subdir', 'DAGS_FOLDER/spaceparts_etl_orchestrator.py', '--cfg-path', '/tmp/tmpopmsapce']
[2025-09-20T19:47:09.256+0000] {standard_task_runner.py:105} INFO - Job 215: Subtask extract_load_fact_Orders
[2025-09-20T19:47:09.626+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-01T00:00:00+00:00 [running]> on host fd99d81282fc
[2025-09-20T19:47:09.705+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Orders' AIRFLOW_CTX_EXECUTION_DATE='2024-01-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-01T00:00:00+00:00'
[2025-09-20T19:47:09.707+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:47:09.721+0000] {spaceparts_etl_orchestrator.py:357} INFO - Starting optimized extraction for table: fact.Orders
[2025-09-20T19:47:12.977+0000] {spaceparts_etl_orchestrator.py:368} INFO - Table fact.Orders has 16,910,069 rows
[2025-09-20T19:47:12.977+0000] {spaceparts_etl_orchestrator.py:389} INFO - Using chunk size: 15,000 for 16,910,069 rows
[2025-09-20T19:47:12.978+0000] {spaceparts_etl_orchestrator.py:393} INFO - Starting streaming extraction and load for fact.Orders
[2025-09-20T19:47:16.921+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 1 with 15000 rows
[2025-09-20T19:47:17.095+0000] {spaceparts_etl_orchestrator.py:275} INFO - Table bronze_fact_orders created successfully
[2025-09-20T19:47:24.038+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 15,000
[2025-09-20T19:47:24.436+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 2 with 15000 rows
[2025-09-20T19:47:30.457+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 30,000
[2025-09-20T19:47:30.808+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 3 with 15000 rows
[2025-09-20T19:47:36.241+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 45,000
[2025-09-20T19:47:36.594+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 4 with 15000 rows
[2025-09-20T19:47:45.671+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 60,000
[2025-09-20T19:47:45.977+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 5 with 15000 rows
[2025-09-20T19:47:50.967+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 75,000
[2025-09-20T19:47:51.299+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 6 with 15000 rows
[2025-09-20T19:47:57.017+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 90,000
[2025-09-20T19:47:57.418+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 7 with 15000 rows
[2025-09-20T19:48:02.813+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 105,000
[2025-09-20T19:48:03.124+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 8 with 15000 rows
[2025-09-20T19:48:08.330+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 120,000
[2025-09-20T19:48:08.699+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 9 with 15000 rows
[2025-09-20T19:48:14.874+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 135,000
[2025-09-20T19:48:15.174+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 10 with 15000 rows
[2025-09-20T19:48:23.936+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 150,000
[2025-09-20T19:48:24.320+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 11 with 15000 rows
[2025-09-20T19:48:29.392+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 165,000
[2025-09-20T19:48:29.732+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 12 with 15000 rows
[2025-09-20T19:48:35.590+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 180,000
[2025-09-20T19:48:35.936+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 13 with 15000 rows
[2025-09-20T19:48:41.414+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 195,000
[2025-09-20T19:48:41.723+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 14 with 15000 rows
